boro,Name_Proper,maintenance_funding,private_funding,ACREAGE
Bronx,College Avenue Greenthumb,0,0,0.43
Queens,College Point Fields,36400,0,26.83
Queens,College Point Park,4640,0,0.66
Manhattan,Collyer Brothers Park,3042,0,0.03
Manhattan,Colonel Charles Young Triangle,5344,0,0.88
Brooklyn,Colonel David Marcus Playground,34357,0,1.97
Bronx,Colucci Playground,37696,0,4.
Manhattan,Columbus Park (Manhattan),89838,2000,3.23
Brooklyn,Columbus Park (Brooklyn),26299,2000,4.14
Queens,Columbus Square,8236,0,0.1
Brooklyn,Commodore Barry Park,108914,0,10.39
Manhattan,Community Garden Association,986,0,0.02
Brooklyn,Community Group Of 349 Elton Street,0,0,0.09
Manhattan,Community Of Poor People In Action,5,0,0.06
Brooklyn,Concerned Residents Of Barbey Street,0,0,0.06
Brooklyn,Concerned Residents Of Montauk Avenue,0,0,0.09
Queens,Conch Playground,5760,0,1.89
Bronx,Concrete Plant Park,35392,0,6.44
Brooklyn,Coney Island Beach & Boardwalk,690924,0,399.47
Brooklyn,Coney Island Boat Basin,9750,0,36.81
Brooklyn,Coney Island Creek Park,5152,0,8.66
Staten Island,Conference House Park,92235,0,286.38
Brooklyn,Continental Army Plaza,12165,0,0.53
Manhattan,Convent Garden,5260,0,0.13
Bronx,Cooney Grauer Field,1958,0,1.27
Brooklyn,Cooper Park,74611,0,6.4
Brooklyn,Cooper St Block Buster Association,0,0,0.16
Manhattan,Cooper Triangle,5672,0,0.17
Manhattan,Corlears Hook Park,28583,0,4.36
Queens,Cornell Burial Ground,2336,0,0.46
Queens,Corona Golf Playground,47831,0,1.72
Queens,Corona Health Sanctuary,1670,0,0.1
Queens,Corona Plaza,217,0,0.04
Queens,Corona Taxpayers Association,0,0,0.18
Queens,Corporal Frank F. Fagan Sq.,377,0,0.
Manhattan,Corporal John A. Seravalli Playground,9629,0,1.14
Queens,Corporal Ruoff Square,4439,0,0.08
Brooklyn,Corporal Wiltshire Square,1040,0,0.05
Brooklyn,Cough Triangle,5353,0,0.03
Queens,Court Square Park,4075,0,0.49
Bronx,Courtlandt Avenue Association Garden,364,0,0.17
Manhattan,Courtney Callender Playground,18052,0,0.65
Bronx,Cpl Fischer Park,8156,0,0.57
